หายโควิดเมื่อ 24 สิงหา วันนี้ 26 ธันวา จะเป็นอีกได้ไหม,0
ติดโควิด=ปอดทำงานไม่เป็นธรรมชาติแล้ว หรือไม่ก็ ปอดทำงานไม่เหมือนก่อนติดโควิด จริงหรือไม่ครับ?,0
เชื้อโควิดพิษร้าย,-1
เชื้อโควิดพิษร้าย,-1
พอดีว่สตาติดโควิด กักตัวได้14 วันเเล้ว เเต่ยังขึ้น2 ขีด เเต่ตอนนี้ตามีอาการเหนื่อย ไอมีเสมหะ สั่น หลงๆลืมๆ เป็นอาการของโควิดไหมคะ,-1
ถ้าติดเชื้อโควิดครบ 14 วันแล้ว ยังตรวจขึ้นสองขีด ต้องทำยังไงคะ,0
อยากทราบว่าตอนนี้ญาติของผมติดโควิดตอนนี้ยังต้องติดต่อใครไหมหรือรักษาตามอาการเหมือนป่วยปกติได้เลยครับ ขอบคุณสำหรับคำตอบครับ,-1
ทำให้ไม่ค่อยอยากสูบบุหรี่ มันไม่เชิงทำให้ไม่อยาก แต่พออยากแล้วทรมาน หงุดหงิด พอติดโควิด มันไม่หงุดหงิด ทรมาน มันเฉยๆ ไม่สูบก็ได้หรือลองสูบสักมวน มันก็ไม่อยากสูบต่อ มันผิดปกติมั้ย จะมีปัญหาทางปอด ทางเดินหายใจมั้ย,-1
ผมอายุ14ปีครับ ช่วงติดโควิดแรกๆเสียงก็ยังปกติดีอยู่ แต่พอหลังหายจากโควิดเสียงก็หายตาม อาการคือเสียงจะเล็กแหลม ตะโกนเสียงดังไม่ได้ พูดติดต่อกันนานๆไม่ได้ พูดแล้วบางคำเสียงไม่ออกเลย บางช่วงผมก็พูดได้ปกตินะครับ แต่สักพักเสียงก็หายไปใหม่ ผมเคยลองไปส่องกล้องดู,-1
สอบถามเพื่อนๆค่ะมีใครติดโควิดเกิน3รอบแล้วบ้างคะแล้วอาการเป็นยังไงบ้าง ล่าสุดเราติดรอบที่ 3 อาการค่อนข้างหนักกว่ารอบที่ผ่านมา ตรวจพบวันศุกร์วันจันทร์เหลือขีดเดียวแต่ที่น่าแปลกคืออาการเรายังเหมือนเดิมเจ็บคอ ไอ มีน้ำมูก เพลีย มึนหัว ปวดหัว อ้วก แต่ไม่มีไข้,-1
สอบถามค่ะ ถ้าอยากจะตรวจเชื้อโควิดว่าลงปอดไหม ต้องไปตรวจที่รพ ใช่ไหมคะ แล้วหมอจะตรวจแบบไหนบ้างคะ,0
ที่ตรวจโควิดสามารถตรวจไข้ได้ไหมครับ,1
เราหายจากโควิดมา1เดือนเเล้ว หลังจากนั้นก็มีอาการนอนไม่หลับ คือบางคืน กว่าจะหลับก็ตี5 ตื่นแปดโมง บางคืนก็หลับๆตื่นๆ ใครเคยมีอาการเเบบนี้บ้างคะ อยากทราบว่าต้องใช้เวลานานไหมกว่าจะหาย ทรมานมากๆเลยค่ะ,-1
รู้สึกหลังโควิดคนจะเริ่มระวังการใช้จ่ายมากๆ,0
เชื้อโควิดพิษร้าย,-1
หลังจากหายจากโควิดมีอาการเบื่ออาหารหนาวสั่น กินอาหารไม่อร่อย เป็นไปใด้มั่ย หรือว่าเป็นอาการอย่างอื่นครับ,0
โควิดเป็นอย่างไรบ้าง มีใครยังเป็นโควิดอยู่ไหม,0
คือผมยังไม่เคยจ่ายสินเชื่อโควิด ออมสิน เริ่มจ่ายตอนนี้ เดือนละ1000 ยังทันไหมครับ เพราะมันนานมากไปแล้ว ยอมรับเลยจริงๆว่าลืม เพราะเปลี่ยนเบอร์เข้าแอปไม่ได้ ลืมเลขบัญชีตัวเองด้วย สมุดก็หายไป ธนาคารออมสิน,-1
เรื่องที่ว่ากินรางจืดแล้วจะแก้พิษวัคซีนโควิดยี่ห้อหนึ่ง อยากรู้เรื่องนี้มันจริงแค่ไหนกี่% แล้วมันจะล้างยันตัววัคซีนและตัวพิษออกด้วยไหมและมันจะกระทบวัคซีนตัวอื่นที่ไม่ใช่วัคซีนโควิดด้วยไหมครับ,1
แมวเป็นโควิดค่ะ รักษาให้หายได้ไหม ตอนนี้หายใจลำบาก ค่ะ. เราควรดูแลอย่างไร,-1
ตามหัวข้อเลยค่ะ พอดีเราป่วย ป่วย2,-1
เก็บเงินและประหยัดมาก แต่พอมาเจอโควิดระบาดรอบแรก บริษัทสั่งหยุดงานจ่าย75% รายได้น้อยลง แต่รายจ่ายยังเท่าเดิมและอาจตะมากกว่าเดิมด้วยซ้ำ ค่านมลูกลดลง75%ก็ไม่ได้ เราจึงต้องเริ่มเอาเงินเก็บที่มีออกมาใช้ทุกเดือนๆ จนหมด โควิดยังมีต่อมาเรื่อยๆ และก็มีการปลดพนักงานออก,-1
